ரேடியோ	radio
ஜெட்	jet
போர்	por
வானூர்திகள்	vaanoorthigal
தாக்குதல்	thaakkuthal
நடத்தின	nadaththina
</s>	</s>
வசதியான	vasathiyaana
குடும்பத்தைச்	kudumbaththaich
சேர்ந்த	saerntha
மோகன்	mohan
என்ற	endra
வாலிபனைக்	vaalibanai
கண்டு	kandu
அவனை	avanai
விரும்புகிறாள்	virumbugiraal
</s>	</s>
அங்கு	angu
பெரும்	paerum
செல்வங்களை	selvangalai
தனதாக்கினார்	thanathaakkinar
</s>	</s>
எனவே	enavae
இச்செயல்பாடு	ichseyalpaadu
பெரிதும்	paerithum
பாராட்டுக்குரியதானது	paaraatukkuriyathu
</s>	</s>
இது	ithu
அமீன்கள்Iஅமீன்களுடன்	aminekal!aminekaludan
வினைபுரிந்து	vinaipurinthu
கார்பமைடுகள்	carbamidegal
எனப்படும்	enappadum
யூரியாவைத்	ureavaith
தருகிறது	tharugirathu
</s>	</s>
சுந்தரராஜன்	sundararajan
இயக்கத்தில்	iyakkaththil
வெளிவந்த	vaelivantha
இத்திரைப்படத்தில்	iththiraippadaththil
பாட்லிங்	patling
மணி	mani
வி	v
</s>	</s>
1994	1994
ஆம்	aam
ஆண்டில்	aandil
தவுரூர்	dauror
எரிமலை	erimalai
வெடித்த	vaediththa
போது	pothu
கிழக்கு	kizhakku
நியூ	new
பிரிட்டன்	britain
மாகாணத்	maagaanth
தலைநகர்	thalainagar
ரபாவுல்	rabaul
பெரும்	paerum
அழிவைச்	azhivaich
சந்தித்தது	santhiththathu
</s>	</s>
இதற்குப்	itharkkup
பின்னர்	pinnar
நடைபெற்ற	nadaipaetra
போட்டியில்	pottiyil
இவர்	ivar
கிராண்ட்மாசுட்டர்	grandmaster
பட்டம்	pattam
வெல்வதற்கான	velvatharkaana
அனைத்து	anaiththu
தகுதியையும்	thaguthiyaiyum
நிறைவு	niraivu
செய்தார்	seithaar
</s>	</s>
போர்ட்	port
எலிசபெத்	elizabeth
காவல்	kaaval
துறை	thurai
அதிகாரிகள்	athikaarigal
அவரை	avarai
விசாரித்த	visaariththa
619ஆம்	619aam
எண்கொண்ட	enkonda
காவல்நிலையம்	kaavalnilaiyam
வரலாற்றில்	varalaatril
முக்கிய	mukkiya
இடம்	idam
பிடித்தது	pidiththathu
</s>	</s>
விஜய்	vijay
நகர்	nagar
</s>	</s>
நீராவிப்போக்கு	neeraavippokku
</s>	</s>
கனடா	canada
மற்றும்	matrum
பன்னாட்டுப்	pannaattup
பிரபலங்களின்	pirapalangalin
ஆதரவுடன்	aatharavudan
5	5
மணி	mani
நேரம்	naeram
நடந்த	nadantha
இந்நிகழ்ச்சியால்	innigazhchchiyaal
10.5	10.5
மில்லியன்	million
நன்கொடை	nankodai
கிடைத்தது	kidaiththathu
</s>	</s>
படகர்	badaga
மொழி	mozhi
கர்நாடகம்	karnataka
மற்றும்	matrum
தமிழ்நாட்டிலும்	tamilnattilum
அதிகம்	athigam
பேசபடுகிறது	paesapadugirathu
</s>	</s>
இலவுரா	laura
பெராரீசு	ferrarese
</s>	</s>
1947	1947
தேர்தலில்	thaerthalil
அக்கட்சி	akkatchi
வேட்பாளராக	vaetpaalaraaga
காங்கேசன்துறை	kankesanturai
தேர்தல்	thaerthal
தொகுதியில்	thoguthiyil
போட்டியிட்டு	pottiyittu
தமிழ்	tamil
காங்கிரசு	congress
வேட்பாளர்	vaetpaalar
தந்தை	thanthai
செல்வநாயகத்திடம்	selvanayagaththidam
தோற்றார்	thotraar
</s>	</s>
திருவருகைக்	thiruvarugaik
காலம்	kaalam
</s>	</s>
மிகப்	migap
பிரம்மாண்டமான	piramaandamaana
நிலை	nilai
ஒன்றினை	onrinai
எடுப்பதற்கு	eduppatharku
அவரைத்	avaraith
தள்ளியதே	thalliyathae
சொரெஸின்	sorosin
பங்களிப்பானது	pangalippaanathu
</s>	</s>
1914	1914
செப்டம்பர்	september
11	11
இல்	il
முதல்	muthal
உலகப்	ulagap
போர்த்	porth
தொடக்கக்	thodakkak
காலத்தில்	kaalaththil
ஆத்திரேலியாவின்	australiavin
கடற்படையினர்	kadarpadaiyinar
நியூ	new
பிரிட்டனில்	birtainil
தரையிறங்கினர்	tharaiyiranginar
</s>	</s>
தில்லி	delhi
சுல்தான்	sultan
இல்டுமிஷ்	iltmish
1226-இல்	1226-il
ரந்தம்பூர்	ranthambore
கோட்டையை	kottaiyai
கைப்பற்றினார்	kaippatrinaar
</s>	</s>
சிலர்	silar
அச்சிற்பம்	achchirppam
புத்தருடையது	buddharudaiyathu
அல்ல	alla
என்றும்	endrum
அது	anand
பிக்கு	bhikku
ஆனந்தருடையது	anandarudaiyathu
என்றும்	endrum
கருதுகின்றனர்	karuthukinranar
</s>	</s>
இவர்	ivar
நமச்சிவாயக்	namasivaya
கவிராயர்	kavirayar
என்றும்	endrum
குறிக்கப்படுவார்	kurikkappaduvaar
</s>	</s>
தீவிர	theevira
அரசியல்	arasiyal
நடவடிக்கைகள்	nadavadikkaikal
காரணமாக	kaaranamaaga
நேட்டால்	natal
பல்கலைக்கழகத்திலிருந்தும்	palkalaikazhakaththilirunthu
அவர்	avar
வெளியேற்றப்பட்டார்	vaeliyaetrappattaar
</s>	</s>
1639	1639
–	-
ஜெரிமையா	jeremya
ஹொரொக்ஸ்	horace
என்பவர்	enbavar
முதன்	muthan
முதலாக	muthalaaga
வெள்ளிக்	vellik
கோள்	kol
சூரியனுக்கும்	sooriyanukkum
பூமிக்கும்	boomikkum
இடையில்	idaiyil
செல்வதை	selvathai
அவதானித்தார்	avathaaniththaar
</s>	</s>
இது	ithu
நவீனத்துவம்	naveenaththuvam
மற்றும்	matrum
நேரியத்	naeriyath
தனித்துவம்	thanithuvam
பெற்றிருப்பதனால்	paetrippathanaal
இதனால்	ithanaal
இடைக்காலத்தில்	idaikkaalaththil
நிறுவப்பட்ட	niruvappatta
மடங்கள்	madangal
அனைத்தும்	anaiththum
இச்சட்டங்களையே	ichsattangalaiyae
ஏற்று	aetru
பின்பற்றின	pinpatrukinrana
</s>	</s>
அந்த	antha
கெட்ட	ketta
நீர்ப்பைகளிலிருந்து	neerppaigalilirunthu
சிறிய	siriya
தலை	thalai
ஒன்று	onru
உருவாகிஇ	uruvaagi
அது	athu
குடலின்	kudalin
சுவரைப்	suvaraip
பற்றிக்	patrik
கொள்ளுகிறது	kollugirathu
</s>	</s>
புவியெழுபது	puviyaezhubathu
</s>	</s>
குசின்	cusin
</s>	</s>
இப்	ip
பறவைகளின்	paravaikalin
வெண்	ven
கண்	kan
புருவம்	puruvam
கண்ணுக்கு	kannukku
கீழான	keezhaana
வெள்ளை	vellai
நிற	nira
பிறை	pirai
வடிவம்	vadivam
மற்றும்	matrum
மீசை	meesai
போன்ற	ponra
கரிய	kariya
கோடு	kodu
என்பனவற்றால்	enbanavatraal
அடையாளம்	adaiyaalam
காணலாம்	kaanalaam
</s>	</s>
துவக்கத்தில்	thuvakkaththil
நன்கு	nangu
அறியப்படாத	ariyappadaatha
பாடகராக	paadakaraaga
இருந்து	irunthu
வந்த	vantha
உன்னிமேனனுக்கு	unnimenonukku
1992ஆம்	1992aam
ஆண்டு	aandu
வெளிவந்த	vaelivantha
ரோஜாத்	rojath
திரைப்படத்தில்	thirappadaththil
அவர்	avar
பாடிய	paadiya
புது	puthu
வெள்ளை	vellai
மழை	mazhai
என்ற	endra
பாடல்	paadal
திருப்புமுனையாக	thiruppumunaiyaaga
அமைந்தது	amainthathu
</s>	</s>
மாண்டிரில்	montrealil
நடந்த	nadantha
புலூ	pali
மேட்ரோபாளிஸ்	matruapolis
திருவிழாவில்	thiruvizhaavil
அளிக்கப்பட்ட	alikkappatta
பன்னாட்டு	pannaattu
கிராண்ட்	grand
பிரிக்ஸ்	pix
பட்டம்	pattam
2011	2011
</s>	</s>
ஓஜார்	ojar
நிபாடு	nipati
வட்டம்	vattam
நாசிக்	nashik
மாவட்டம்	maavattam
மகாராஷ்டிரா	maharashtra
</s>	</s>
இவர்	ivar
தன்முதுமுனைவர்	thanmuthumunaivar
பட்டத்தை	pattaththai
உருசிய	russia
அறிவியல்	ariviyal
கல்விக்கழகத்தின்	kalvikkazhakaththin
மாஸ்கோவில்	moscowil
அமைந்த	amaintha
வானொலிப்	vaanolip
பொறியியல்	poriyiyal
மின்னனியல்	minnaniyal
நிறுவனத்தில்	niruvanaththil
இருந்து	irunthu
1997	1997
இல்	il
இராடார்	radar
வானியலில்	vaaniyalil
பெற்றார்	paetraar
</s>	</s>
கும்பகோணத்திலுள்ள	kumbakonaththil
கவின்	kavin
கலைக்	kalaik
கல்லூரியில்	kallooriyil
கலைக்கூடம்	kalaikkoodam
அமைப்பதற்காக	amaippatharkaaga
ரூ	roo
</s>	</s>
ஆல்பா	alpha
செண்டாரி	centauri
சி	c
என்பது	enbathu
சூரிய	sooriya
மண்டலத்தின்	mandalaththin
சூரியனுக்கு	sooriyanukku
மிக	miga
அருகாமையில்	arugaamaiyil
இருக்கும்	irukkum
விண்மீன்	vinmeen
</s>	</s>
தேடல்	thaedal
</s>	</s>
இந்தத்	inthath
தொடரில்	thodaril
இலங்கை	ilangai
அணி	ani
ஐந்தாவது	ainthaavathu
முறையாக	muraiyaaga
வென்று	vaenru
சாதனை	saathanai
படைத்தது	padaiththathu
</s>	</s>
1903	1903
ஆம்	aam
ஆண்டில்	aandil
காசியிலிருந்து	kasiyilirunthu
வெளியான	vaeliyaana
உருது	urudu
மொழி	mozhi
இதழான	ithazhaana
ஆவாஜ்	aavaaj
கால்ஹ்	kaalh
எனும்	enum
இதழில்	ithazhil
இவருடைய	ivarudaiya
முதல்	muthal
நாவலான	naavalaana
அஸ்ரர்	azar
-	-
இ	e
-	-
மாவிட்	maweed
தொடராக	thodaraaga
வெளிவந்தது	vaelivanthathu
</s>	</s>
இருப்பினும்	iruppinum
தனது	thanathu
நிறத்தை	niraththai
மாற்றிக்	maatrik
கொள்வதற்காக	kolvatharkaaga
பரவலாக	paravalaaga
அறியப்பட்ட	ariyappatta
ஜந்து	janthu
பச்சோந்தியேயாகும்	pachchonthiyaeyaagum
</s>	</s>
இயக்கி	iyakki
மற்றும்	matrum
இயங்கியின்	iyangiyin
அதிர்வெண்	athirven
வேறுபாட்டினைக்	vaerupaattinaik
கொண்டு	kondu
திணிப்பதிர்வின்	thinippathirvin
வீச்சினைக்	veechchinaik
கணக்கிடலாம்	kanakkidalaam
</s>	</s>
வேப்பம்பூ	veppampoo
நாட்பட்ட	naatpatta
பூவினால்	poovinaal
ஏப்பம்	aeppam
சுவையின்மை	suvaiyinmai
மலப்புழுக்கள்	malappuzhukkal
நாக்கு	naakku
நோய்கள்	noigal
ஜன்னி	janni
ஆகிய	aagiya
நோய்கள்	noigal
தீரும்	theerum
</s>	</s>
தவறாக	thavaraaga
மறுக்கப்படும்	marukkappadum
ஏற்கத்தக்க	aerkkaththakka
உள்ளீடுகளின்	ulleedugalin
சதவீதத்தை	sathaveethaththai
இது	ithu
அளவிடுகிறது	alavidugirathu
</s>	</s>
இடைப்பட்ட	idaippatta
காலத்தில்	kaalaththil
ஜின்கள்	jinngal
தங்களுடைய	thangaludaiya
தலைநகரை	thalainagarai
பியான்ஜிங்குக்கு	beyjiangukku
தற்கால	tharkaala
ஹெனான்	henan
மாகாணத்தின்	maaganaththin
கைஃபெங்	kaifeng
மாற்றினர்	maatrinar
</s>	</s>
சில	sila
நேரங்களில்	naerangalil
ஒரு	oru
ஆண்	aan
பல	pala
பெண்களோடு	pengalodu
தொடர்பு	thodarpu
வைத்துக்கொள்ள	vaiththukkolla
ஒரே	orae
கூட்டில்	koottil
இரு	iru
பெண்களும்	pengalum
முட்டையிட	muttaiyida
வாய்ப்புள்ளது	vaaippullathu
</s>	</s>
அழகப்பன்	azhakappan
கந்தையா	kandaiya
</s>	</s>
விண்ணப்பங்களைப்	vinnappangalaip
பெற்ற	paetra
உடனேயே	udanaeyae
விண்ணப்பித்த	vinnappiththa
மாற்றுத்	maatruth
திறனாளிகளுக்கு	thiranaaligalukku
மூன்று	moonru
சக்கர	sakkara
வாகனங்கள்	vaaganangal
சலவைக்காரர்கள்	salavaikkaarargal
மற்றும்	matrum
முடிதிருத்துபவர்களுக்கு	mudithiruththubavargalukku
உபகரணங்கள்ஆகியவை	ubakaranangalaagiyavai
வழங்கப்பட்டன	vazhangappattana
</s>	</s>
இது	ithu
சூரியனை	sooriyanai
விட	vida
சற்று	satru
அதிகமாக	athigamaaga
ஒளிர்வு	olirvu
அளவை	alavai
கொண்டுள்ளது	kondullathu
</s>	</s>
இவற்றில்	ivatril
இரண்டு	irandu
உறை	urai
கிணறுகள்	kinarugal
கண்டெடுக்கப்பட்டது	kandaedukkappattathu
</s>	</s>
பொருட்களை	porutkalai
ஒழுங்குபடுத்தல்	ozhunkupaduththuthal
</s>	</s>
இராவணன்	ravanan
நீர்	neer
வீழ்ச்சி	veezhchchi
இராமாயணத்தோடு	ramayanaththodu
தொடர்புடையதாக	thodarpudaiyathaaga
நம்பப்படுகிறது	nambappadugirathu
</s>	</s>
திருச்சிராப்பள்ளி	tiruchirappalli
வானொலியில்	vaanoliyil
சுரதாவின்	surathavin
பல	pala
கவிதைகள்	kavithaigal
ஒலிபரப்பாகியுள்ளன	oliparappaagiyullana
</s>	</s>
ஆங்கிலம்	aangilam
</s>	</s>
இவன்	ivan
ஊரில்	ooril
வயலில்	vayalil
தாமரை	thaamarai
பூக்கும்போது	pookkumpothu
அதைப்	athaip
போல	pola
முற்றத்தில்	mutraththil
அந்தணர்	anthanar
தீ	thee
வளர்ப்பார்களாம்	valarppaargalaam
</s>	</s>
வாக்குச்	vaakkuch
சீட்டு	seettu
அணுகல்	anugal
</s>	</s>
இது	ithu
விடயம்சார்	vidayamsaar
தபால்தலை	thabaalthalai
சேகரிப்பாளர்களுக்கு	saekarippaalarkalukku
நிறைந்த	niraintha
வாய்ப்புக்களைத்	vaaippukalaith
தருகின்றது	tharuginrathu
</s>	</s>
1877ஆண்டுகளில்	1877 aandugalil
முதல்தர	muthalthara
துடுப்பாட்டப்	thuduppaattap
போட்டியில்	pottiyil
பங்குகொண்டார்	pangukondaar
</s>	</s>
எனினும்	eninum
இந்த	intha
லென்சைப்	lensaip
பொருத்திக்கொண்ட	poruththikkonda
பின்னர்	pinnar
ஒருவரது	oruvarathu
பார்வை	paarvai
காலப்போக்கில்	kaalappokkil
மாறுகிறது	maarugirathu
அல்லது	allathu
குறைகிறது	kuraikirathu
என்றால்	endraal
லென்சை	lensai
எளிதாக	elithaaga
நீக்க	neekka
அல்லது	allathu
அதற்குப்	atharkup
பதிலாகப்	pathilaagap
புதிய	puthiya
லென்சைப்	lensaip
பொருத்த	poruththa
முடியும்	mudiyum
</s>	</s>
சொவைட்டோ	soviet
கிளர்ச்சி	kilarchchi
காரணமாக	kaaranamaaga
வெள்ளை	vellai
இனவெறி	inavaeri
காவல்துறையின்	kaavalthuraiyin
இலக்கானார்	ilakkaanaar
ஸ்டீவ்	steve
பைக்கோ	pico
</s>	</s>
ரூவால்	rowal
டால்	doll
தினம்	thinam
பற்றிய	patriya
பக்கம்	pakkam
ஆங்கிலம்	aangilam
</s>	</s>
சீனாவில்	chinavil
மக்களிடையியே	makkalidaiyae
கல்வி	kalvi
அறிவைப்	arivaip
பரவலாக்கவும்	paravalaakkavum
சீன	china
மொழியைக்	mozhiyaik
கற்பதற்கு	karpatharku
எளிமையாக்கவும்	elimaiyaakkavum
சீனமொழியைச்	chinamozhiyaich
சீர்திருத்தம்	seerthiruththam
செய்யவும்	seiyyavum
சூ	zhou
யூக்வாங்கை	youguangai
சீன	china
அரசு	arasu
ஒரு	oru
குழுவின்	kuzhuvin
தலைவராக	thalaivaraaga
அமர்த்தியது	amarththiyathu
</s>	</s>
உடன்	udan
நடித்தவர்	nadiththavar
டி	t
</s>	</s>
சங்கர்	shankar
கிஸ்தையாவின்	kistaiyavin
காந்தி	gandhi
கொலைச்சதியின்	kolaichsathiyin
பங்கு	pangu
தில்லி	delhi
மற்றும்	matrum
புனே	pune
வில்	vil
தங்கியிருந்து	thangiyirunthu
காந்தியைக்	gandhiyaik
கொல்லச்	kollach
சதி	sathi
புரிந்த	purintha
குழுவினருக்கு	kuzhuvinarukku
உதவிபுரிந்தார்	uthavipurinthaar
</s>	</s>
எனினும்	eninum
சர்	sir
ஐசக்	isac
நியூட்டன்	newton
முதன்	muthan
முதலில்	muthalil
இச்சோதனையைச்	ichsothanaiyai
நிரூபித்ததால்	niroopiththathaal
அவரது	avarathu
பெயரால்	paeyaraal
நியூட்டனின்	newtonin
வளையம்	valaiyam
என	ena
அழைக்கப்படுகிறது	azhaikkappadugirathu
</s>	</s>
மீ	mee
தொலைவிலும்	tholaivilum
சென்னை	chennai
பன்னாட்டு	pannaattu
விமான	vimaana
நிலையம்	nilaiyum
சுமார்	sumaar
15	15
கி	k
</s>	</s>
மேளம்	maelam
கொட்டு	kottu
தாலி	thaali
கட்டு	kattu
</s>	</s>
ஜோசப்	joseph
எல்	l
பி	p
பள்ளி	school
வைக்கம்	vaikkam
அரசு	arasu
ஆண்கள்	aangal
உயர்நிலைப்	uyarnilaip
பள்ளி	palli
ஆகியவற்றில்	aagiyavatril
கல்வி	kalvi
கற்றார்	katraar
</s>	</s>
அதன்	athan
பின்னர்	pinnar
சனியின்	saniyin
ஏழு	aezhu
செயற்கைக்கோள்கள்	seyarkaikkolgal
கண்டறியப்பட்ட	kandariyappatta
பின்	pin
ஜான்	john
ஹெர்ச்செல்	herschel
சனியின்	saniyin
வேறு	vaeru
இரு	iru
கோள்களை	kolgalai
கண்டறிந்தவர்	kandarinthavar
1847	1847
ஆம்	aam
ஆண்டு	aandu
வெளியிட்ட	vaeliyitta
புத்தகத்தில்	puththakaththil
டைட்டன்	titan
என்ற	endra
பெயரை	paeyarai
முதன்	muthan
முதலாக	muthalaaga
பயன்படுத்தினார்	payanpaduththinaar
</s>	</s>
இவரது	ivarathu
சிற்பங்களும்	sirpangalum
பல	pala
இடங்களில்	idangalil
சுடுமண்ணால்	sudumannaal
செய்யப்பட்டு	seyyappattu
வண்ணம்	vannam
தீட்டப்	theettap
பட்டுள்ளன	pattullana
</s>	</s>
அவற்றை	avatrai
ஆர்	r
</s>	</s>
புவியின்	puviyin
காற்று	kaatru
மண்டலத்தில்	mandalaththil
நிலப்பரப்பை	nilapparappai
ஒட்டியுள்ள	ottiyulla
வளிமண்டல	valimandala
அடுக்கு	adukku
நிலப்பரப்புடன்	nilapparappudan
வெப்பம்	veppam
ஈரப்பதம்	eerappatham
மற்றும்	matrum
உந்தம்	untham
ஆகியவற்றை	aagiyavatrai
மாற்றிக்கொள்கிறது	maatrikkolkirathu
</s>	</s>
ராகவேந்திர	ragavendra
பக்தரான	baktharaana
ரஜனிகாந்த்	rajinikanth
ஸ்ரீ	sri
ராகவேந்திரர்	ragavendarar
கோவிலுக்குள்ளிருந்து	kovilukkullirunthu
வருகிறார்	varugiraar
</s>	</s>
ஆகத்து	august
1	1
–	-
சிலுவைப்	siluvaip
போர்வீரர்கள்	porveerargal
கரையோரப்	karaiyorap
பகுதிகளைக்	paguthigalaik
கைப்பற்ற	kaippatra
எடுக்கும்	edukkum
முயற்சிக்கு	muyarchikku
உதவும்	uthavum
முகமாக	mugamaaga
செனோவாக்	cenovak
கடற்படைக்	kadarpadak
கப்பல்கள்	kappalgal
இத்தாலியில்	italiyil
இருந்து	irunthu
புறப்பட்டன	purappattana
</s>	</s>
Pr	pr
என்பது	enbathu
செயலற்ற	seyalatra
ஃபைட்டோகுரோம்	fatiokroome
வகையாகும்	vagaiyaagum
இது	ithu
தாவரங்கள்	thaavarangal
குறைவான	kuraivaana
ஒளியில்	oliyil
வளர்வதைத்	valarvathaith
தடை	thadai
செய்கிறது	seigirathu
</s>	</s>
ஜூட்	jude
மருத்துவமனை	maruththuvamanai
</s>	</s>
கோசுட்டர்	koster
இலங்கைக்கான	ilangaikkaana
முதலாவது	muthalaavathu
ஒல்லாந்த	holland
ஆளுனராகப்	aalunaraagap
பதவியேற்றார்	pathaviyaetraar
</s>	</s>
சசாண்டர்	cassander
</s>	</s>
இந்த	intha
செல்கள்	cellgal
எப்பிதிம்	epitemic
செல்கள்	selgal
என்று	endru
அழைக்கப்படுகின்றன	azhaikkappaduginrana
ஒன்று	onru
அல்லது	allathu
அதற்கு	atharku
மேற்பட்ட	maerpatta
துணை-புறப்பரப்பு	thunai-purapparappu
அறைகளில்	araigalil
திறக்கப்படுகின்றன	thirakkappadukinrana
</s>	</s>
திருவரங்கத்தமுதனார்	tiruvarankattamutanar
செய்த	seitha
இராமானுச	ramanusa
நூற்றந்தாதி	nootranthaathi
நூலுக்கு	noolukku
வியாக்கியானம்	viyaakkiyaanam
</s>	</s>
இது	ithu
சில	sila
வகையான	vagaiyaana
ஒளி	oli
அலைவரிசைகளை	alaivarisaigalai
உட்கிரகித்து	utkirakiththu
வேறு	vaeru
வண்ணங்களாகப்	vannangalaagap
பிரதிபலிக்கும்	pirathipalikkum
</s>	</s>
சுசான்னி	suzanne
மாதென்	maden
</s>	</s>
பல்லினப்பண்பாட்டு	pallinappanpaattu
உலகமய	ulagamaya
தேசிய	thaesiya
சக்திகளின்	sakthigalin
மத்தியில்	maththiyil
ஊர்	oor
ஒன்றியங்கள்	onriyangal
கீழே	keezhe
இருந்து	irunthu
மேலே	maelae
நோக்கும்	nokkum
அமைப்புக்களாக	amaippugalaaga
இயங்குகின்றன	iyangukinrana
</s>	</s>
இதன்	ithan
ஒலியெழுப்பும்	oliyaezhuppum
செயற்பாடானது	seyarpaadaanathu
தந்திகளிலெயே	thanthigalilaeyae
தங்கியுள்ளது	thangiyullathu
</s>	</s>
வண்ணம்	vannam
என்பது	enbathu
இங்குத்	inguth
தமிழ்ப்	tamizhp
பாடல்களில்	paadalgalil
செய்யுளில்	seyyulil
அமைந்துள்ள	amainthulla
நடைப்பாங்கைக்	nadaippaangaik
குறிக்கும்	kurikkum
இந்தப்	inthap
பாநடைப்	paanadaip
பாங்கால்	paangaal
செய்யுளின்	seyyulin
இசைப்பாங்கு	isaippaangu
வேறுபடும்	vaerupadum
</s>	</s>
இதனால்	ithanaal
தாழ்நிலைப்	thaalnilaip
பகுதிகள்	paguthigal
வெள்ளத்தினால்	vellaththinaal
நிரம்பும்	nirambum
</s>	</s>
எவைன்	ewine
வான்	van
திழ்சோயக்	dishoeck
</s>	</s>
அலெக்சாந்தர்	alexandar
அவரது	avarathu
தந்தை	thanthai
இரண்டாம்	irandaam
பிலிப்	phillip
இறந்த	irantha
பின்னர்	pinnar
மக்கெடோனின்	macedon
மன்னனாக	mannanaaga
முடிசூடிக்கொண்டார்	mudisoottikkondaar
</s>	</s>
கணிமிகள்	kanimigal
தாம்	thaam
இருக்கும்	irukkum
உயிரினத்துக்கு	uyirinaththukkku
ஓர்	oor
எதிப்புத்	ethipputh
தன்மையை	thanmaiyai
அல்லது	allathu
குழலிணைவு	kuzhalinaivu
என்னும்	ennum
நிகழ்வுக்கு	nigalvukku
உதவி	uthavi
புரிபவையாக	puripavaiyaaga
இருக்கின்றன	irukkinrana
</s>	</s>
ஒரு	oru
பொருளின்	porulin
வண்ணம்,வடிவம்,குணம்,அளவு,சுவை	vannam,vadivam,kunam,alavu,suvai
குறித்த	kuriththa
பண்பு	panpu
பெயர்கள்	paeyargal
பிற	pira
சொற்களுடன்	sorkaludan
இணைவதை	inaivathai
பண்புப்பெயர்	panpuppaeyarchi
புணர்ச்சி	punarchi
எனப்படும்	enappadum
</s>	</s>
அண்டக்	andak
கதிர்களை(Cosmic	kathirkalai(cosmic
rays	rays
விலக்கி	vilakki
உயிரினங்களைக்	uyirinangalaik
காக்கும்	kaakkum
புவி	puvi
காந்தப்புலத்திற்குக்	kaanthappulaththirkkuk
காரணமாக	kaaranamaaga
இருப்பது	iruppathu
பூமியில்	boomiyil
உள்ள	ulla
உருகிய	urugiya
குழம்பாக	kuzhambaaga
இருக்கும்	irukkum
இரும்பும்	irumbum
நிக்கலும்	nikkalum
ஆகும்	aagum
</s>	</s>
சாரநாத்தில்	saranaththil
உள்ள	ulla
புத்தரின்	buddharin
சிற்பத்தில்	sirpaththil
உள்ள	ulla
குறிப்புகளின்	kurippugalin
படி	padi
புருகுப்தருக்குப்	puruguptharukkup
பின்	pin
இரண்டாம்	irandaam
குமாரகுப்தன்	kumaraguptan
அரியணை	ariyanai
ஏறினார்	aerinaar
என்ற	endra
முடிவிற்கு	mudivirku
வரமுடிகிறது	varamudigirathu
</s>	</s>
அன்று	andru
ஆயிரத்திற்கும்	aayiraththirkum
மேற்பட்டோர்	maerpattor
அக்	ak
குழந்தைக்கு	kuzhanthaikku
என்னவாயிற்று	ennavaayitru
என	ena
நாளிதழ்	naalithazh
அலுவலகத்தைத்	aluvalakaththaith
தொடர்பு	thodarpu
கொண்டனர்	kondanar
</s>	</s>
இவ்வாறு	ivaaru
எதிர்மின்னிகள்	ethirminnigal
வெவ்வேறு	vaevaeru
திசைகளை	thisaigalai
நோக்கி	nokki
ஓடுவது	ooduvathu
மின்னிரைச்சலைத்	minniraichalaith
தோற்றுவிக்கிறது	thotruvikkirathu
</s>	</s>
•	•
செயற்கை	seyarkai
கோள்களிலும்	kolkalilum
கணக்கீட்டுக்	kanakkeettuk
கருவிகளிலும்	karuvikalilum
சூரிய	sooriya
மின்கலன்கள்	minkalangal
பயன்படுகின்றன	payanpadukinrana
</s>	</s>
ழீன்	jean
சுவாங்கு	swank
</s>	</s>
திருத்தொண்டர்	thiruththondar
திருநாமக்கோவை	thirunaamakkovai
என்பது	enbathu
சிவஞான	sivagna
யோகிகள்	yogigal
என்பவரால்	enbavaraal
எழுதப்பட்ட	ezhuthappatta
நூலாகும்	noolaagum
</s>	</s>
ரஷ்ய-ஜப்பான்	russia-japan
போர்	por
ஆரம்பமாக	aarambamaaga
இது	ithu
காரணமானது	kaaranamaanathu
</s>	</s>
மழைநீர்	mazhaineer
தொட்டியில்	thottiyil
படாமல்	padaamal
இருக்குமாறு	irukkumaaru
கூரை	koorai
அமைத்தல்	amaiththal
அவசியம்	avasiyam
பூசிய	poosiya
மண்ணில்	mannil
விரிசல்	virisal
ஏற்பட்டு	aerpattu
காற்று	kaatru
உள்ளே	ullae
புகாமல்	pugaamal
பார்த்துக்கொள்ள	paarththukkolla
வேண்டும்	veandum
3	3
மாதங்களுக்கு	maathangalukku
பிறகு	piragu
இத்தீவனம்	iththeevanam
கால்நடைகளுக்கு	kaalnadaikalukku
கொடுப்பதற்கு	koduppatharku
உகந்ததாக	uganthathaaga
இருக்கும்	irukkum
.	.
</s>	</s>
அதனால்	athanaal
கருவிகளை	karuvigalai
வைக்கும்	vaikkum
அறையில்	araiyil
கருவிகளை	karuvigalai
துருப்பிடிக்காமல்	thurppidikkaamal
தடுக்க	thadukka
இடப்படுகிறது	idappadugirathu
</s>	</s>
புகையிலை	pugaiyilai
இங்கு	ingu
பெரும்பாலும்	paerumpaalum
பயிரிடப்படுகின்றது	payiridappadukinrathu
</s>	</s>
ஆனால்	aanaal
நீண்டகால	neendakaal
சிகிச்சை	sikichchai
எதுவும்	ethuvum
அறியப்பட்டிருக்கவில்லை	ariyappattirukkavillai
</s>	</s>
பாங்க்	bank
ஆப்	of
பரோடா	baroda
</s>	</s>
ஐக்கிய	aikkiya
அமெரிக்க	america
நாடுகள்	naadugal
ரஷ்யா	russia
இத்தாலி	italy
மற்றும்	matrum
ஜெர்மனி	germany
போன்ற	ponra
பிற	pira
நாட்டு	naattu
ராணுவங்கள்	raanuvangal
காக்கியை	kaakkiyai
அல்லது	allathu
தமது	thamathu
சூழலுக்குப்	soozhalukkup
பொருந்துவதாக	porunthuvathaaga
சாம்பல்	saambal
